Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC11,SC11-0924-0119_resampled,1,2,2,2,2,364
SC11,SC11-0924-0119_resampled,1,2,2,2,1,365
SC11,SC11-0924-0119_resampled,1,2,2,2,1,366
SC11,SC11-0924-0119_resampled,1,2,2,2,2,367
SC11,SC11-0924-0119_resampled,0,2,2,1,1,368
SC11,SC11-0924-0119_resampled,1,2,2,2,1,369
SC11,SC11-0924-0119_resampled,1,2,2,2,1,370
SC11,SC11-0924-0119_resampled,1,2,2,2,1,371
SC11,SC11-0924-0119_resampled,0,2,2,1,2,372
SC11,SC11-0924-0119_resampled,1,2,2,2,2,373
SC11,SC11-0924-0119_resampled,1,2,2,2,1,374
SC11,SC11-0924-0119_resampled,1,2,2,2,2,375
SC11,SC11-0924-0119_resampled,0,3,1,2,1,376
SC11,SC11-0924-0119_resampled,0,3,1,2,1,377
SC11,SC11-0924-0119_resampled,0,3,1,2,1,378
SC11,SC11-0924-0119_resampled,0,3,1,2,1,379
SC11,SC11-0924-0119_resampled,0,3,1,2,1,380
SC11,SC11-0924-0119_resampled,0,3,1,2,1,381
SC11,SC11-0924-0119_resampled,0,3,1,2,1,382
SC11,SC11-0924-0119_resampled,0,3,1,2,1,383
SC11,SC11-0924-0119_resampled,0,3,1,2,1,384
SC11,SC11-0924-0119_resampled,1,3,1,1,1,385
SC11,SC11-0924-0119_resampled,0,3,1,2,1,386
SC11,SC11-0924-0119_resampled,1,3,1,1,1,387
SC11,SC11-0924-0119_resampled,1,3,1,1,1,388
SC11,SC11-0924-0119_resampled,0,3,2,1,2,389
SC11,SC11-0924-0119_resampled,1,3,2,2,2,390
SC11,SC11-0924-0119_resampled,1,3,1,1,1,391
SC11,SC11-0924-0119_resampled,1,3,1,1,1,392
SC11,SC11-0924-0119_resampled,0,3,2,1,2,393
SC11,SC11-0924-0119_resampled,0,3,2,1,2,394
SC11,SC11-0924-0119_resampled,1,3,2,2,2,395
SC11,SC11-0924-0119_resampled,1,3,1,1,1,396
SC11,SC11-0924-0119_resampled,0,3,1,2,1,397
SC11,SC11-0924-0119_resampled,0,3,1,2,1,398
SC11,SC11-0924-0119_resampled,1,3,1,1,1,399
SC11,SC11-0924-0119_resampled,0,3,2,1,2,400
SC11,SC11-0924-0119_resampled,0,3,2,1,2,401
SC11,SC11-0924-0119_resampled,1,3,2,2,2,402
SC11,SC11-0924-0119_resampled,1,3,1,1,1,403
SC11,SC11-0924-0119_resampled,1,3,1,1,1,404
SC11,SC11-0924-0119_resampled,0,3,2,1,2,405
SC11,SC11-0924-0119_resampled,1,3,2,2,2,406
SC11,SC11-0924-0119_resampled,1,3,1,1,1,407
SC11,SC11-0924-0119_resampled,0,3,1,2,1,408
SC11,SC11-0924-0119_resampled,0,3,1,2,1,409
SC11,SC11-0924-0119_resampled,1,3,1,1,1,410
SC11,SC11-0924-0119_resampled,1,3,1,1,1,411
SC11,SC11-0924-0119_resampled,0,3,2,1,2,412
SC11,SC11-0924-0119_resampled,1,3,2,2,2,413
SC11,SC11-0924-0119_resampled,1,3,1,1,1,414
SC11,SC11-0924-0119_resampled,1,3,1,1,1,415
SC11,SC11-0924-0119_resampled,1,3,1,1,1,416
SC11,SC11-0924-0119_resampled,0,3,2,1,2,417
SC11,SC11-0924-0119_resampled,1,3,2,2,2,418
SC11,SC11-0924-0119_resampled,1,3,1,1,1,419
SC11,SC11-0924-0119_resampled,1,3,2,2,2,420
SC11,SC11-0924-0119_resampled,1,3,1,1,1,421
SC11,SC11-0924-0119_resampled,1,3,2,2,2,422
SC11,SC11-0924-0119_resampled,1,3,1,1,1,423
SC11,SC11-0924-0119_resampled,1,3,2,2,2,424
SC11,SC11-0924-0119_resampled,1,1,1,1,1,425
SC11,SC11-0924-0119_resampled,0,1,1,2,2,426
SC11,SC11-0924-0119_resampled,0,1,1,2,2,427
SC11,SC11-0924-0119_resampled,1,1,1,1,2,428
SC11,SC11-0924-0119_resampled,1,1,1,1,1,429
SC11,SC11-0924-0119_resampled,1,1,1,1,1,430
SC11,SC11-0924-0119_resampled,0,1,1,2,2,431
SC11,SC11-0924-0119_resampled,1,1,1,1,2,432
